Record ID,Company name,Phone Number,Company owner,Lead Status,Clay score,Country,Associated Note,Current Software ,Current Software Contract End Date,Core service,Industry_,Accounting software (US),Accounting Software (UK and ANZ),Accounting Software UK,Client Use Case,Associated Note IDs,Company Domain Name
37315276942,DJA Safety,,Paxton Rice,Customer,0,United States,,,,Service & Maintenance,Fire,,,,,,www.djasafety.com
36696040323,SFTY,5878801991,Tiernan Day,Customer,0,Canada,setting up a new fire extinguisher used inspect point rewccomended my martin at defense fire could grow into moe than ext safetconsulting company ext as a value add for clients floor plan feature would be very good for safety side zero accounting notes 3+ will grow quick very interested,Other; None (N/A),,Other,Fire & Security,Xero,,,,84190820259,sfty.ca
35494125844,USA Fire Co,,Daniela Richter,Customer,0,United States,,,,,Fire,,,,,,usafireco.com
34992033567,LIT Fire Protection,,Alex Yung,Customer,0,United States,"Disco ran, Josh was trying to buy right then and there In-depth demo on Wednesday",,,Service & Maintenance,Fire,,,,,81397528178,
31779707260,Bighorn Fire,,Daniela Richter,Customer,35,United States,,,,Other,Other,,,,,,bighorn-fire.com
31504532009,Metro Fire & Safety,(770) 267-9127,Tommy Haake,Customer,65,United States,,,,50/50 ,Fire & Security,,,,,,www.thebluebook.com
31283405395,Cts Fire, +1 519-826-9229,Tiernan Day,Customer,105,Canada,jules --- service and schedulijng Sandra ---  accounting person,,,50/50 ,Fire,,,,,77140043539,ctsfire.ca
31051054223,Blue Jack Fire,,Scott MacRitchie,Customer,35,United States,"Thai - CTO Brent - AAA Lyn - CFO Bluejack Mary - Account AA Brandon - Sprinkler Inspections and Service Heather - AAA Vance - AAA Prez Tina - Scheduling, wants a full session Chris - Fire alarm at Protech Oscar. - Fire alarm at Protech Marc - Chase Fire Operations, NYC focused They liked: -Forms -Prefill Forms -Floor Plans/Plotting Devices Wants to see more of: Scheduling and Projects",,,Service & Maintenance,Fire,,,,,76578775307,Bluejackfire.com
30785918755,Leaders LA Fire Sprinklers & Hood Cleaning, +1 213-320-5234,Victoria Bradbury,Customer,90,United States,,Uptick,,50/50 ,Fire,,,,,,lafiresprinklers.com
30782141714,Atlas Fire Sprinkler Systems Long Beach, +1 562-609-4274,Victoria Bradbury,Customer,90,United States,,Uptick,,50/50 ,Fire,,,,,,firesprinklersystemslongbeach.com
30787777317,Rightaway Fire Protection, +1 562-451-4941,Victoria Bradbury,Customer,90,United States,,Uptick,,50/50 ,Fire,,,,,,fireprotectionwhittier.com
30798628485,Rivers Fire Protection, +1 213-693-1189,Tommy Haake,Customer,90,United States,,Uptick,,50/50 ,Fire,,,,,,fireprotectionlosangelesca.net
30797703095,Victory Fire Protection, +1 951-524-7621,Chandler Sanders,Customer,90,United States,,,,50/50 ,Fire,,,,,,fireprotectionriversidecounty.com
30789287549,Toucan Fire Protection, +1 209-789-3849,Chandler Sanders,Customer,90,United States,,,,50/50 ,Fire,,,,,,fireprotectionstockton.com
30792132176,Fire Extinguisher Service and Inspection In Tampa, +1 813-228-8283,Daniela Richter,Customer,95,United States,,,,Service & Maintenance,Fire with Security,,,,,,allfloridafire.com
30791979285,Midwest Protection Services Inc, +1 920-687-8990,Paxton Rice,Customer,75,United States,Connected W/Justin on LI and then Justin went in a sent a Demo Request.,Unknown; Other,,Installation,Fire & Security,QB online,,,,78301662009,mwprotection.com
30779064239,Bear Fire Protection Inc., +1 210-281-4156,Daniela Richter,Customer,95,United States,,Inspect Point,,Service & Maintenance,Fire,,,,,,bearfireprotection.com
30665025555,Homer Fire Protection,17036468290,Tommy Haake,Customer,100,United States,,,,50/50 ,Fire & Security,QB online,,,,,homerfireprotection.com
30644420505,B-Lann Equipment,518-421-4969,Sophie Parker,Customer,10,United States,"Gave a ring today and was at doctors appt - call Monday AM;big thing for him is sending out techs and theyd come back with a list of 6 yrs and hydros, put together a quote and call customer, now they see what they have upcoming --he is gonna make me a video today - says foundation doesn't have version control - going to send me a video today - scheduling is huge and other facets of estimate, doing a job- technicians do a quote for a customer and do it right - have concentric rings around their main location that changes pricing so 10 minutes away is 20$ more, etc. - kithcen inspections, everybodies is different and usually have 1 tank but some have more than that and charge based on number of tanks they have (use a parent child relationship so hood is parent and child is number of tanks) knows if goign to uptick.",,,Service & Maintenance,Fire,Foundation,,,,76888781473;74957354156,blannequipment.com
30367897194,Cain & Sons Fire Equipment, +1 973-227-2277,Tiernan Day,Customer,90,United States,,,,50/50 ,Fire,QB online,,,,,cainandsons.com
