Record ID,Company name,Phone Number,Company owner,Lead Status,Clay score,Country,Associated Note,Current Software ,Current Software Contract End Date,Core service,Industry_,Accounting software (US),Accounting Software (UK and ANZ),Accounting Software UK,Client Use Case,Associated Note IDs
23955608711,FireSolutionsNW, +1 855-876-3473,Hunter Higgins,Customer,120,United States,,Service Trade,,50/50 ,Fire,QB online,,,,
22994511669,Borem Fire Protection, +1 863-606-6352,Alex Yung,Live deal,120,United States,"Been through software sales Need support High pressure sales and no time to try it out - front crm software Tried simpro and another, positively hate service trade who they use right now, tried inspect point Been with service trade for 6 years, extremely slow to fix problems and make improvements on it Lot of basic stuff like running reports to see what jobs they did last week Reporting is extremely detailed but doesn’t have basic stuff No body has a good map function which is why he can’t get rid of them yet Double entry/clicking when putting in a new customer Putting peoples name instead of Mostly extinguishers and kitchen systems Quickbooks Would want a demo Show extinguisher list with serial numbers 21 FTEs - 7 techs and 2 trainees / office is grossly overstaffed 9 in office - 10 users minimum Paying 9,000 a year for service trade Said if we are good to him he will be the best cheerleader",Service Trade,,50/50 ,Fire,QB online,,,,61773923192
22027811346,Pittsburgh Fire Sprinkler, +1 412-223-6699,Sophie Parker,Customer,120,United States,,Inspect Point,,50/50 ,Fire,,,,,
21575945120,Fire Protection Specialists, +1 800-658-9463,Paxton Rice,Live deal,120,United States,,Service Fusion,,50/50 ,Fire,QB online,,,,
25779218811,APFE Corp., +1 866-323-0386,Victoria Bradbury,Live deal,115,United States,,Custom Software,,Service & Maintenance,Fire,,,,,
22026887075,Triangle Fire Protection Inc, +1 717-241-9662,Chandler Sanders,Live deal,115,United States,,Unknown,,50/50 ,Fire,,,,,
20751780931,Hyperscale Fire,,Scott MacRitchie,Customer,115,United States,,None (N/A),,Service & Maintenance,Fire,QB online,Quickbooks Online,,,
19630940979,"XDS FIRE, INC.", +1 303-434-8502,Scott MacRitchie,Customer,115,United States,,None (N/A),,50/50 ,Fire,QB online,Quickbooks Online ,,,
18630443268,Reep Fire Protection, +1 951-677-6575,Scott MacRitchie,Customer,115,United States,"Trev - Justin - Tyler - AIB - REEP FIRE = $3,820 AREAS = Based in California and one shop in Dallas CORE FOCUS = Inspection & Service of Suppression, Portables, Kitchen Hood Systems (Just acquired two companies focussing on Sprinklers) SIZE = 20 Users (5 & 15) SOFTWARE = Can say N/A (Excel/WORD, connect teams and multiple platforms) Tried Asset Tiger however extremely clunky ACCOUNTING = Quickbooks 'Not Cloud' DEVICES = ApplePAIN POINTS Double handling. Lack of info for techs in the field. Asset Management. Missing jobs. Losing revenue. Client Experience. B - Pricing yet to be discussed. A - All decision makers were in the room. N - A software that is constantly evolving, easy to use with a clean flow, appropriate workflow to suit their business, access and ability to generate US standard forms & reports, efficient and accurate scheduling, execution from A to B, ability to take photos, one stop shop apart from accounting package, flexible and configurable, works on all devices. T - Yesterday... they are keen to see more and start ASAP. HOW DO YOU FEEL ABOUT JOINING A SOFTWARE THAT HAS JUST LAUNCHED IN THE US ? It excites us to work together and help develop it for the US market. CONSEQUENCES IF YOU DON'T MOVE TO UPTICK ? Revenue missed, inefficient scheduling, unhappy clients & continue to be bogged down with paperwork and admin, the business will continue to go backwards and not forward ""we want to improve and evolve"".",None (N/A),,Service & Maintenance,Fire,QB online,Quickbooks Online ,,,46242790008
25112840882,Boyer Fire Protection, +1 314-241-9944,Paxton Rice,Live deal,110,United States,,,,50/50 ,Fire,,,,,
