Record ID,Company name,NA State,State/County,Country,Company Domain Name,Phone Number,Company owner,Lead Status,Clay score,Associated Note,Current Software,Current Software Contract End Date,Core service,Accounting software (US),Industry_,Client Use Case,Associated Note IDs,Perform Search,Link To Google Search,Results Returned Count,Serper Link,Enrich Company,Founded,Employee Count,Website,Find Contacts at Company,PIC 1 Name,PIC 1 TItle,PIC 1 URL,PIC 1 Contact Info,PIC 2 Name,PIC 2 Title,PIC 2 URL,PIC 2 Contact Info,Find Contacts at Company (2),PIC 3 Name,PIC 3 Title,PIC 3 URL,PIC 3 Contact Info,CEO LinkedIn URL (2),Linkedin Url
37315276942,DJA Safety,New York,,United States,www.djasafety.com,,Paxton Rice,Customer,0,,,,Service & Maintenance,,Fire,,,No Results,,,,❌ Company Not Found,,,,,,,,,,,,  ,❌ Company Not Found,,,,  ,No LinkedIn profile found,
36696040323,SFTY,Alberta,,Canada,sfty.ca,5878801991,Tiernan Day,Customer,0,setting up a new fire extinguisher used inspect point rewccomended my martin at defense fire could grow into moe than ext safetconsulting company ext as a value add for clients floor plan feature would be very good for safety side zero accounting notes 3+ will grow quick very interested,Other; None (N/A),,Other,Xero,Fire & Security,,84190820259,https://ca.linkedin.com/company/sfty-ltd (+4),https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany%20%2B%20sfty.ca&hl=en&gl=us,5,https://ca.linkedin.com/company/sfty-ltd,SFTY LTD.,2015,6,http://www.sfty.ca,Found 1 People,Jason Stolarchuk,"Operations Manager, Field Services",https://www.linkedin.com/in/jason-stolarchuk-79a9a422/,"Jason Stolarchuk Operations Manager, Field Services https://www.linkedin.com/in/jason-stolarchuk-79a9a422/",,,,  ,,,,,  ,,
36407794456,AI Fire,California,,United States,aifire.com,,Daniela Richter,Discovery Completed- Working,0,"Rachel works for AI Fire, which recently acquired them and is undergoing rapid growth. Their current pain points with ServiceTrade and Inspect Point revolve around: ERP Integration: Currently using GP (Microsoft Dynamics GP) but looking to move to a more modern ERP, with the CIO (Mike) strongly favoring Oracle Netsuite. This is a critical point. Consolidated Platform (All-in-One): They are tired of using multiple applications (ServiceTrade, Inspect Point, Device Magic) and want a single, integrated solution. Multi-District Management: They have 40+ districts, each currently logging into their own instance. They need a system that allows for a single platform view while still defaulting users to their specific district, with executive-level roll-up reporting. Fire Protection Specialization: Rachel highlighted that ServiceTrade sometimes ""lacks"" in its understanding of fire industry codes and standards. Your background and UpTick's fire-specific focus are significant differentiators. Growth Support: The new investor means continuous growth, so the system needs to be scalable and handle future expansion seamlessly. Forms and Reporting: The CIO has questions about how forms are managed, updated, and customized, especially given varying state and local requirements (e.g., California's Title 19 forms). Your Key Strengths to Highlight (UpTick) Based on your conversation, here are your strongest selling points: Deep Fire Protection Expertise: Emphasize your personal background and UpTick's specialized focus on fire protection, which directly addresses Rachel's feedback about ServiceTrade's limitations. Netsuite Integration (Upcoming): This is a huge win. You mentioned a basic out-of-the-box integration will be available by the end of September (this quarter). This aligns perfectly with their CIO's preference. All-in-One Solution: Showcase how UpTick consolidates various functionalities, reducing the need for multiple applications. This is a direct answer to their ""tired of bouncing around"" problem. Multi-Branch/Multi-District Management: Highlight your ""masters of filtering"" capability, demonstrating how individual districts can operate within one platform while providing a single, executive-level view. This is a strong selling point for PE-backed companies. Scalability for Growth: Position UpTick as a platform built for companies undergoing rapid growth, capable of handling increased users and business scope. Robust Forms Management: Explain your two-tier approach to reports: HTML-created reports: For content-focused jurisdictions. PDF editor style forms: For jurisdictions requiring specific formats and content (e.g., California Title 19). Emphasize the ability to customize forms while also leveraging your system for regulatory compliance. Customer-Centric Development: Mention your lead developer and entire development team being in North America for two months to gather ""voice of customer"" feedback. This shows a commitment to continuous improvement and responsiveness to user needs. ""Premium Partner"" Philosophy: Reinforce that you seek partners who desire growth and seamless integration, aligning with AI Fire's forward-thinking approach. Demo Strategy for Monday Acknowledge and Validate: Start by explicitly acknowledging their current challenges with ServiceTrade and Inspect Point, and validate their desire for a more unified and industry-specific solution. Lead with ERP Integration: Immediately address the Netsuite integration. This is a critical point for their CIO. Show them the roadmap and reaffirm the September availability. Showcase ""All-in-One"" Functionality: During the demo, actively demonstrate how various tasks (inspections, service, scheduling, reporting) are handled within a single interface, contrasting it with their current multi-application setup. Highlight Multi-District Capabilities: Explicitly show how UpTick manages multiple branches/districts with filtered views for users and rolled-up data for executives. This is a major pain point for them. Address Forms & Reporting Directly: Dedicate time to explain your forms capabilities. Show examples if possible, and discuss how you handle state and local regulations. Emphasize customization options. Emphasize Fire Protection Focus: Throughout the demo, subtly weave in how UpTick's design and features are tailored specifically for the fire protection industry, leveraging your background as a strength. Quantify Benefits (if possible): While you don't have hard numbers, you can speak to the types of benefits other large, growing fire protection companies have seen by consolidating and improving their workflows. Maintain Your ""No Trash Talk"" Rule: Rachel appreciated your stance on competition, so continue to frame conversations about other software in terms of ""opportunities."" Follow-Up Opportunities Post-Demo Recap: As you mentioned, offer a recap to Rachel to gather feedback on what resonated and what might have been missed. Future On-Site Visit: Propose an on-site visit to their corporate office or a relevant district to delve deeper into their workflows and specific needs, especially for their CIO (Mike). By focusing on these points, you'll demonstrate a clear understanding of AI Fire's challenges and position UpTick as the ideal solution for their current and future needs. Good luck with the demo!;DISCOVERY RUN Customer/Location: Personnel/Title: Jeff is EVP - 6/7 years, Mike came from Fire, Rachel, George is COO Event: Lead Source: Result: Reason: Next Step: Meeting Summary Core Business/When They Started: Size of Business/Techs vs. Office: Current Software, Operations: Field Devices, IOS or Android: Operational Process, Current State: Inspections quoted with: Tracking recurring inspections with: Schedule with: Techs run inspections/create reports on: Deficiencies are marked and tracked with: Deficiencies are quoted with: Current Software, Accounting: GP to NetSuite - The main thing Forms vs. Prompts, do they require a format in their geo? Likes About Current: Dislikes About Current: Gotta have it feature, that I don't have now: All in One Need different instances across all districts, 40+ instances Product Blocker: Timeline to Purchase/Have they been looking?: What are they paying now? Have they received quotes from a similar tier of platform?",Service Trade; Inspect Point,,50/50,Other,Fire,,84447073198;84282481060,https://www.linkedin.com/company/ai-fire (+4),https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany%20%2B%20aifire.com&hl=en&gl=us,5,https://www.linkedin.com/company/ai-fire,AI Fire,2009,244,https://aifire.com,Found 5 People,Martha Gonzales,A/R Operations Lead,https://www.linkedin.com/in/martha-gonzales/,Martha Gonzales A/R Operations Lead https://www.linkedin.com/in/martha-gonzales/,George Brown,Chief Operating Officer,https://www.linkedin.com/in/george-brown-53b73921/,George Brown Chief Operating Officer https://www.linkedin.com/in/george-brown-53b73921/,,,,,  ,,
36148769090,Lechner Services,,,United States,lechnerservices.com,,Scott MacRitchie,Discovery Completed- Working,0,,,,,,,,,https://www.linkedin.com/company/lechner-services (+4),https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany%20%2B%20lechnerservices.com&hl=en&gl=us,5,https://www.linkedin.com/company/lechner-services,Lechner Services,1971,49,https://www.lechnerservices.com/?utm_source=linkedin&utm_medium=page%20link&utm_campaign=page%20link,Found 4 People,Regina Merino,Costumer Service,https://www.linkedin.com/in/regina-merino-954903137/,Regina Merino Costumer Service https://www.linkedin.com/in/regina-merino-954903137/,Dangira Sileikis,service manager,https://www.linkedin.com/in/dangira-sileikis-26690535/,Dangira Sileikis service manager https://www.linkedin.com/in/dangira-sileikis-26690535/,,,,,  ,,
35494125844,USA Fire Co,Oklahoma,,United States,usafireco.com,,Daniela Richter,Customer,0,,,,,,Fire,,,No Results,,,,❌ Company Not Found,,,,,,,,,,,,  ,❌ Company Not Found,,,,  ,https://www.linkedin.com/in/chad-huennekens-aab76b13,https://www.linkedin.com/in/chad-huennekens-aab76b13
35473024596,Visionary Systems,Texas,,United States,vistechsys.com,,Daniela Richter,Discovery Completed- Working,0,,,,Installation,QB online,Fire & Security,,,https://www.linkedin.com/company/visionary-systems-inc,https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany%20%2B%20vistechsys.com&hl=en&gl=us,1,https://www.linkedin.com/company/visionary-systems-inc,"Visionary Systems, Inc.",2015,4,www.vistechsys.com,❌ No Profile Found,,,,,,,,  ,,,,,  ,https://www.linkedin.com/in/garyskrehart,https://www.linkedin.com/in/garyskrehart
35153337468,Firehouse Solutions,Arizona,,United States,fhs-az.com,+18333473473,Daniela Richter,Lost deal,0,,,,Service & Maintenance,,Fire,,,https://www.linkedin.com/company/hvs (+4),https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany%20%2B%20fhs-az.com&hl=en&gl=us,5,https://www.linkedin.com/company/hvs,❌ Company Not Found,,,,Found 5 People,"Stephen Rushmore, MAI, FRICS",President and CEO,https://www.linkedin.com/in/stephen-rushmore-mai-frics-46b73421/,"Stephen Rushmore, MAI, FRICS President and CEO https://www.linkedin.com/in/stephen-rushmore-mai-frics-46b73421/","Janet Ott, Chief Marketing Officer and Strategy Leader, HVS",Chief Marketing Officer & Strategy Leader,https://www.linkedin.com/in/janetmott/,"Janet Ott, Chief Marketing Officer and Strategy Leader, HVS Chief Marketing Officer & Strategy Leader https://www.linkedin.com/in/janetmott/",,,,,  ,,
34992033567,LIT Fire Protection,New York,,United States,,,Alex Yung,Customer,0,"Disco ran, Josh was trying to buy right then and there In-depth demo on Wednesday",,,Service & Maintenance,,Fire,,81397528178,,,,,,,,,,,,,,,,,  ,,,,,  ,,
34903798544,Rainbolt Tech,Florida,,United States,rainbolttech.com,,Tommy Haake,Live deal,0,,,,50/50,,Fire & Security,,,https://www.linkedin.com/company/rainbolt-tech-services (+4),https://www.google.com/search?q=site%3Alinkedin.com%2Fcompany%20%2B%20rainbolttech.com&hl=en&gl=us,5,https://www.linkedin.com/company/rainbolt-tech-services,Rainbolt Tech Services,,11,www.Rainbolttech.com,❌ No Profile Found,,,,,,,,  ,,,,,  ,https://www.linkedin.com/in/micah-rainbolt-629951266,https://www.linkedin.com/in/micah-rainbolt-629951266
34588442719,JM Protective,New Hampshire,,United States,jmprotective.com,,Tommy Haake,Discovery Booked,0,,None (N/A),,Service & Maintenance,,Fire & Security,,,No Results,,,,❌ Company Not Found,,,,,,,,,,,,  ,❌ Company Not Found,,,,  ,https://www.linkedin.com/in/joseph-morrison-91193918,https://www.linkedin.com/in/joseph-morrison-91193918
