Record ID,Company name,Phone Number,Company owner,Lead Status,Clay score,Country,Associated Note,Current Software ,Current Software Contract End Date,Core service,Industry_,Accounting software (US),Accounting Software (UK and ANZ),Accounting Software UK,Client Use Case,Associated Note IDs,tam_site,tam_Department?,tam_name,tam_category,tam_full_address,tam_city,tam_postal_code,tam_state,tam_Country,tam_business_status,tam_phone,tam_Employee Count,tam_Software,tam_4. Master Assoc Search,tam_Parent Company,tam_Industry Score,tam_Core Service,tam_Final Score
23955608711,FireSolutionsNW, +1 855-876-3473,Hunter Higgins,Customer,120,United States,,Service Trade,,50/50 ,Fire,QB online,,,,,firesolutionsnw.com,No,FireSolutionsNW,Fire protection service,"2921 Carlisle Blvd NE STE 220E, Albuquerque, NM 87110",Albuquerque,87110,New Mexico,United States,OPERATIONAL,+1 855-876-3473,Nov-50,,NFPA (National Fire Protection Association),,30,20,120
22994511669,Borem Fire Protection, +1 863-606-6352,Alex Yung,Live deal,120,United States,"Been through software sales Need support High pressure sales and no time to try it out - front crm software Tried simpro and another, positively hate service trade who they use right now, tried inspect point Been with service trade for 6 years, extremely slow to fix problems and make improvements on it Lot of basic stuff like running reports to see what jobs they did last week Reporting is extremely detailed but doesn’t have basic stuff No body has a good map function which is why he can’t get rid of them yet Double entry/clicking when putting in a new customer Putting peoples name instead of Mostly extinguishers and kitchen systems Quickbooks Would want a demo Show extinguisher list with serial numbers 21 FTEs - 7 techs and 2 trainees / office is grossly overstaffed 9 in office - 10 users minimum Paying 9,000 a year for service trade Said if we are good to him he will be the best cheerleader",Service Trade,,50/50 ,Fire,QB online,,,,61773923192,boremfire.com,No,Borem Fire Protection,Fire protection service,"3705 US Hwy 98 S Units 1-2, Lakeland, FL 33812",Lakeland,33812,Florida,United States,OPERATIONAL,+1 863-606-6352,Nov-50,,"NFPA (National Fire Protection Association), 2. NAFED (National Association of Fire Equipment Distribution)
FFEDA (Florida Fire Equipment Dealers Association), 2. NFPA (National Fire Protection Association), 3. NAFED (National Association of Fire Equipment Distribution), 4. NFIB (National Federation of Independent Business)",,30,20,120
22027811346,Pittsburgh Fire Sprinkler, +1 412-223-6699,Sophie Parker,Customer,120,United States,,Inspect Point,,50/50 ,Fire,,,,,,pittsburghfiresprinkler.com,No,Pittsburgh Fire Sprinkler,Fire protection service,"4725 William Flinn Hwy, Allison Park, PA 15101",Allison Park,15101,Pennsylvania,United States,OPERATIONAL,+1 412-223-6699,Nov-50,,"NAFED (National Association of Fire Equipment Distributors)
NAFED (National Association of Fire Equipment Distributors)",,30,20,120
21575945120,Fire Protection Specialists, +1 800-658-9463,Paxton Rice,Live deal,120,United States,,Service Fusion,,50/50 ,Fire,QB online,,,,,fpsweb.net,No,Fire Protection Specialists,Fire protection equipment supplier,"1906 Commercial St, Bangor, WI 54614",Bangor,54614,Wisconsin,United States,OPERATIONAL,+1 800-658-9463,Nov-50,,"NFPA (National Fire Prevention Association), 2. NAFED (National Association of Fire Equipment Distributors), 3. IKECA (International Kitchen Exhaust Cleaning Association), 4. NFBAA (National Fire & Burglary Association of America)",,30,20,120
25779218811,APFE Corp., +1 866-323-0386,Victoria Bradbury,Live deal,115,United States,,Custom Software,,Service & Maintenance,Fire,,,,,,apfecorp.com,No,APFE Corp.,Fire protection service,"809 W Broadway, Anaheim, CA 92805",Anaheim,92805,California,United States,OPERATIONAL,+1 866-323-0386,Nov-50,,,,30,30,115
22026887075,Triangle Fire Protection Inc, +1 717-241-9662,Chandler Sanders,Live deal,115,United States,,Unknown,,50/50 ,Fire,,,,,,trianglefireprotection.com,No,Triangle Fire Protection Inc,Fire protection system supplier,"20 Roadway Dr, Carlisle, PA 17015",Carlisle,17015,Pennsylvania,United States,OPERATIONAL,+1 717-241-9662,Nov-50,,"FPANZ (Fire Protection Association New Zealand), 2. Association of Building Compliance, 3. Society of Fire Protection Engineers, 4. Site Safe, 5. Institute of Fire Engineers",Pye Barker,30,20,115
20751780931,Hyperscale Fire,,Scott MacRitchie,Customer,115,United States,,None (N/A),,Service & Maintenance,Fire,QB online,Quickbooks Online,,,,,,,,,,,,,,,,,,,,,
19630940979,"XDS FIRE, INC.", +1 303-434-8502,Scott MacRitchie,Customer,115,United States,,None (N/A),,50/50 ,Fire,QB online,Quickbooks Online ,,,,xdsfire.com,No,"XDS FIRE, INC.",Fire protection system supplier,"13730 Smith Rd Suite F, Aurora, CO 80011",Aurora,80011,Colorado,United States,OPERATIONAL,+1 303-434-8502,Nov-50,,FSSA (Fire Suppression Systems Association),,30,20,115
18630443268,Reep Fire Protection, +1 951-677-6575,Scott MacRitchie,Customer,115,United States,"Trev - Justin - Tyler - AIB - REEP FIRE = $3,820 AREAS = Based in California and one shop in Dallas CORE FOCUS = Inspection & Service of Suppression, Portables, Kitchen Hood Systems (Just acquired two companies focussing on Sprinklers) SIZE = 20 Users (5 & 15) SOFTWARE = Can say N/A (Excel/WORD, connect teams and multiple platforms) Tried Asset Tiger however extremely clunky ACCOUNTING = Quickbooks 'Not Cloud' DEVICES = ApplePAIN POINTS Double handling. Lack of info for techs in the field. Asset Management. Missing jobs. Losing revenue. Client Experience. B - Pricing yet to be discussed. A - All decision makers were in the room. N - A software that is constantly evolving, easy to use with a clean flow, appropriate workflow to suit their business, access and ability to generate US standard forms & reports, efficient and accurate scheduling, execution from A to B, ability to take photos, one stop shop apart from accounting package, flexible and configurable, works on all devices. T - Yesterday... they are keen to see more and start ASAP. HOW DO YOU FEEL ABOUT JOINING A SOFTWARE THAT HAS JUST LAUNCHED IN THE US ? It excites us to work together and help develop it for the US market. CONSEQUENCES IF YOU DON'T MOVE TO UPTICK ? Revenue missed, inefficient scheduling, unhappy clients & continue to be bogged down with paperwork and admin, the business will continue to go backwards and not forward ""we want to improve and evolve"".",None (N/A),,Service & Maintenance,Fire,QB online,Quickbooks Online ,,,46242790008,reepfire.com,No,Reep Fire Protection,Fire protection service,"41340 Pear St, Murrieta, CA 92562",Murrieta,92562,California,United States,OPERATIONAL,+1 951-677-6575,10-Feb,,,,30,30,115
25112840882,Boyer Fire Protection, +1 314-241-9944,Paxton Rice,Live deal,110,United States,,,,50/50 ,Fire,,,,,,boyerfire.com,No,Boyer Fire Protection,Fire protection service,"5555 W Park Ave, St. Louis, MO 63110",St. Louis,63110,Missouri,United States,OPERATIONAL,+1 314-241-9944,51-200,,"NAFED (National Association of Fire Equipment Distributors), 2. NFPA (National Fire Protection Association), 3. NFSA (National Fire Sprinkler Association)
NFPA (National Fire Protection Association), 2. NAFED (National Association of Fire Equipment Distributors), 3. ABC (Associated Builders and Contractors), 4. NICET (National Institute for Certification in Engineering Technologies), 5. NFSA (National Fire Sprinkler Association), 6. 669 (International Association of Fire Fighters Local 669)",,30,20,110
